Game Time,Current Maze,Current Row,Current Column
0,0,0,0
1,012017,0,2,1
2,022962,0,2,1
3,033809,0,2,1
4,045129,0,2,1
5,055707,0,2,1
6,066658,0,2,1
7,077642,0,2,1
8,08888,0,2,1
9,099504,0,2,1
10,11124,0,2,1
11,12233,0,2,1
12,13235,0,2,1
13,14371,0,2,1
14,15425,0,2,1
15,16575,0,2,1
16,17644,0,2,1
17,18716,0,2,1
18,19887,0,2,1
19,209,0,2,1
20,22005,0,2,1
21,23097,0,2,1
22,24184,0,2,1
23,25309,0,2,1
24,26447,0,2,1
25,27469,0,2,1
26,28564,0,2,1
27,30042,0,2,1
28,31152,0,2,1
29,325,0,2,1
30,32854,0,2,1
31,33914,0,2,1
32,35173,0,2,1
33,36309,0,2,1
34,37389,0,2,1
35,38468,0,2,1
36,39563,0,2,1
37,4068,0,2,1
38,41753,0,2,1
39,42847,0,2,1
40,43984,0,2,1
41,45065,0,2,1
42,46132,0,2,1
43,47227,0,2,1
44,48417,0,2,1
45,49421,0,2,1
46,5053,0,2,1
47,51607,0,2,1
48,52747,0,2,1
49,53798,0,2,1
50,54892,0,2,1

